"spkid","full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
3788042,"       (2017 UW5)",2.517,0.6639,3.26,208.82,127.40,0.846,4.19,3.99,3,8,18,,,28.70
3788048,"       (2017 UX5)",1.213,0.2413,18.26,59.42,52.16,0.920,1.51,1.34,1555,0,97,,,19.86
3788037,"       (2017 UY5)",1.87,0.5218,14.46,81.45,32.58,0.894,2.85,2.56,6640,0,57,,,18.80
3788038,"       (2017 UZ5)",0.9174,0.1748,6.03,26.69,134.59,0.757,1.08,0.879,2,7,23,,,26.60
3788052,"       (2017 UA6)",2.581,0.6809,0.49,17.39,75.93,0.824,4.34,4.15,4,7,57,,,25.70
3788049,"       (2017 UB6)",2.28,0.5540,5.12,207.71,197.77,1.017,3.54,3.44,4,8,30,,,27.20
3788051,"       (2017 UC6)",1.512,0.2698,30.64,31.04,9.02,1.104,1.92,1.86,2,9,22,,,24.60
3788041,"       (2017 UD6)",1.601,0.6078,34.45,208.72,82.31,0.628,2.57,2.03,4,9,27,,,24.90
3788047,"       (2017 UE6)",1.126,0.2418,34.88,208.82,320.70,0.854,1.40,1.19,4,9,28,,,22.60
3788045,"       (2017 UF6)",1.485,0.6592,15.77,43.20,236.92,0.506,2.46,1.81,5,9,31,,,23.40
3788043,"       (2017 UG6)",1.836,0.4413,6.87,30.08,355.73,1.026,2.65,2.49,6,7,56,,,25.30
3788044,"       (2017 UH6)",1.489,0.6167,9.37,31.51,259.70,0.571,2.41,1.82,1,8,29,,,26.20
3788046,"       (2017 UJ6)",1.795,0.4989,9.61,34.00,49.63,0.900,2.69,2.41,5,8,41,,,26.60
3788050,"       (2017 UK6)",1.074,0.0883,27.96,34.97,58.70,0.979,1.17,1.11,176,3,75,,,24.00
3788072,"       (2017 UL6)",1.101,0.2545,3.15,214.71,262.11,0.821,1.38,1.15,1,7,15,,,32.00
3788076,"       (2017 UM6)",2.591,0.5741,30.23,14.52,17.02,1.104,4.08,4.17,4,9,43,,,22.00
3788077,"       (2017 UO6)",1.703,0.2758,42.57,15.16,272.91,1.233,2.17,2.22,564,2,57,,,19.90
3788075,"       (2017 UP6)",0.8226,0.4558,5.61,200.59,337.49,0.448,1.20,0.746,3,7,35,,,26.10
3788073,"       (2017 UQ6)",0.9438,0.1097,0.59,333.36,229.76,0.840,1.05,0.917,19,6,26,,,27.20
3788082,"       (2017 UJ7)",2.416,0.6454,6.91,204.12,246.89,0.857,3.98,3.76,10,8,41,,,25.40
3788078,"       (2017 UK7)",1.786,0.4900,8.73,38.92,59.40,0.911,2.66,2.39,19,8,31,,,24.50
3788081,"       (2017 UL7)",2.223,0.6634,2.49,181.38,290.19,0.748,3.70,3.32,19,8,37,,,24.42
3788079,"       (2017 UM7)",1.317,0.1873,35.62,33.53,339.49,1.070,1.56,1.51,6,8,32,,,24.60
3788080,"       (2017 UN7)",1.205,0.1361,7.95,41.03,32.92,1.041,1.37,1.32,31,7,35,,,25.70
